ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300045.SZ,20250704,18.89,18.97,18.54,18.61,18.97,-0.36,-1.8977,183814.81,343894.945
300045.SZ,20250703,18.46,19.88,18.44,18.97,18.52,0.45,2.4298,341486.75,657393.703
300045.SZ,20250702,18.8,18.92,18.41,18.52,18.92,-0.4,-2.1142,129335.66,240424.087
300045.SZ,20250701,19.15,19.2,18.81,18.92,19.09,-0.17,-0.8905,162771.34,308446.681
300045.SZ,20250630,18.6,19.19,18.56,19.09,18.53,0.56,3.0221,245003,465472.374
300045.SZ,20250627,18.56,18.79,18.48,18.53,18.56,-0.03,-0.1616,142231,265058.972
300045.SZ,20250626,18.7,19.05,18.53,18.56,18.7,-0.14,-0.7487,232512.72,436988.157
300045.SZ,20250625,18.35,18.73,18.3,18.7,18.39,0.31,1.6857,193139,359133.221
300045.SZ,20250624,18.21,18.42,18.02,18.39,18.27,0.12,0.6568,136442,249489.025
300045.SZ,20250623,17.51,18.33,17.5,18.27,17.63,0.64,3.6302,144088.66,260436.573
300045.SZ,20250620,17.93,18,17.61,17.63,17.92,-0.29,-1.6183,87665.66,155707.344
300045.SZ,20250619,18.39,18.39,17.85,17.92,18.49,-0.57,-3.0827,138503.71,250501.01
300045.SZ,20250618,18.3,18.65,18.28,18.49,18.58,-0.09,-0.4844,143000.98,263582.68
300045.SZ,20250617,18,18.63,17.83,18.58,17.93,0.65,3.6252,232422.4,426639.788
300045.SZ,20250616,17.68,17.95,17.68,17.93,17.8,0.13,0.7303,70592.96,126259.531
300045.SZ,20250613,18.2,18.28,17.72,17.8,18.15,-0.35,-1.9284,125468.9,224632.906
300045.SZ,20250612,18.28,18.35,18.06,18.15,18.38,-0.23,-1.2514,102010.71,185437.913
300045.SZ,20250611,18.6,18.65,18.34,18.38,18.7,-0.32,-1.7112,169573.76,313117.928
300045.SZ,20250610,18.59,18.88,18.1,18.7,18.42,0.28,1.5201,278039.51,514444.387
300045.SZ,20250609,18.18,18.81,18.1,18.42,18.01,0.41,2.2765,197777.76,364224.681
300045.SZ,20250606,18.14,18.38,17.96,18.01,18.12,-0.11,-0.6071,98395.01,178341.925
300045.SZ,20250605,17.92,18.14,17.77,18.12,17.92,0.2,1.1161,104268.57,187929.792
300045.SZ,20250604,17.98,18.24,17.9,17.92,18.07,-0.15,-0.8301,85181.6,153293.27
300045.SZ,20250603,17.96,18.29,17.93,18.07,17.96,0.11,0.6125,99259.5,179666.742
