ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601698.SH,20250704,20.64,20.91,20.15,20.2,21.13,-0.93,-4.4013,699865.23,1429973.859
601698.SH,20250703,20.9,22.54,20.89,21.13,20.49,0.64,3.1235,1070165.29,2321343.388
601698.SH,20250702,20.2,20.56,19.75,20.49,20.2,0.29,1.4356,403045.47,809384.466
601698.SH,20250701,20.44,20.44,20.12,20.2,20.47,-0.27,-1.319,216404.77,437567.934
601698.SH,20250630,19.95,20.49,19.92,20.47,19.9,0.57,2.8643,334278.42,679969.285
601698.SH,20250627,19.85,20.06,19.75,19.9,19.9,0,0,163132,324953.735
601698.SH,20250626,19.8,20.33,19.76,19.93,19.88,0.05,0.2515,328794.19,660126.689
601698.SH,20250625,19.56,19.94,19.5,19.88,19.55,0.33,1.688,272682.24,540292.091
601698.SH,20250624,19.39,19.57,19.31,19.55,19.46,0.09,0.4625,134384.2,261510.856
601698.SH,20250623,19.11,19.5,19.1,19.46,19.13,0.33,1.725,111318,215359.305
601698.SH,20250620,19.32,19.37,19.12,19.13,19.32,-0.19,-0.9834,86291.23,165675.111
601698.SH,20250619,19.63,19.63,19.26,19.32,19.65,-0.33,-1.6794,117421,227743.62
601698.SH,20250618,19.58,19.71,19.51,19.65,19.62,0.03,0.1529,122255,239891.933
601698.SH,20250617,19.71,19.74,19.45,19.62,19.65,-0.03,-0.1527,101722.99,199098.585
601698.SH,20250616,19.74,19.75,19.53,19.65,19.64,0.01,0.0509,106422,208860.055
601698.SH,20250613,19.3,19.76,19.29,19.64,19.3,0.34,1.7617,284142.33,555732.623
601698.SH,20250612,19.35,19.39,19.23,19.3,19.41,-0.11,-0.5667,109877.55,211902.24
601698.SH,20250611,19.5,19.58,19.41,19.41,19.56,-0.15,-0.7669,132372.91,257664.674
601698.SH,20250610,19.62,20.13,19.44,19.56,19.65,-0.09,-0.458,231155,455144.379
601698.SH,20250609,19.62,19.8,19.5,19.65,19.62,0.03,0.1529,132488.12,260468.345
601698.SH,20250606,19.9,20.05,19.56,19.62,19.82,-0.2,-1.0091,175728.18,346872.091
601698.SH,20250605,19.6,20.06,19.4,19.82,19.57,0.25,1.2775,243456.8,482143.274
601698.SH,20250604,19.58,19.99,19.52,19.57,19.6,-0.03,-0.1531,146923.55,289348.756
601698.SH,20250603,19.52,19.78,19.48,19.6,19.57,0.03,0.1533,144914.09,284259.787
601698.SH,20250530,19.4,19.66,19.25,19.57,19.56,0.01,0.0511,175845.43,342119.166
601698.SH,20250529,19.15,20,19.15,19.56,19.18,0.38,1.9812,234583.03,460607.172
601698.SH,20250528,19.36,19.48,19.16,19.18,19.48,-0.3,-1.54,105523.73,203467.752
601698.SH,20250527,19.05,19.76,18.92,19.48,19.1,0.38,1.9895,251989.21,489526.041
601698.SH,20250526,19.02,19.19,18.99,19.1,18.98,0.12,0.6322,85057.12,162441.096
601698.SH,20250523,19.28,19.31,18.93,18.98,19.29,-0.31,-1.6071,142420.71,272157.895
601698.SH,20250522,19.44,19.58,19.28,19.29,19.48,-0.19,-0.9754,106754.19,207436.629
601698.SH,20250521,19.61,19.61,19.3,19.48,19.54,-0.06,-0.3071,121172.07,235288.526
601698.SH,20250520,19.4,19.93,19.32,19.54,19.43,0.11,0.5661,153570.59,301644.356
601698.SH,20250519,19.33,19.59,19.19,19.43,19.27,0.16,0.8303,127364.71,247134.744
601698.SH,20250516,19.23,19.43,19.22,19.27,19.27,0,0,113743,219486.356
601698.SH,20250515,19.78,19.85,19.22,19.27,19.64,-0.37,-1.8839,187592.75,364797.812
601698.SH,20250514,19.79,19.93,19.52,19.64,19.86,-0.22,-1.1078,222727.41,437777.11
601698.SH,20250513,20.49,20.49,19.8,19.86,20.5,-0.64,-3.122,378170.38,759455.693
601698.SH,20250512,19.9,20.83,19.71,20.5,19.79,0.71,3.5877,532746.39,1088964.783
601698.SH,20250509,20.22,20.4,19.71,19.79,20.21,-0.42,-2.0782,231064,459714.047
601698.SH,20250508,19.8,20.22,19.68,20.21,19.95,0.26,1.3033,292891,585423.13
601698.SH,20250507,19.98,20.1,19.63,19.95,19.63,0.32,1.6302,334795.66,665260.471
601698.SH,20250506,19.04,19.64,19.02,19.63,18.93,0.7,3.6978,244335.72,474418.785
601698.SH,20250430,18.89,19.08,18.6,18.93,19.08,-0.15,-0.7862,177552.77,335404.146
601698.SH,20250429,19.03,19.24,19,19.08,19.1,-0.02,-0.1047,91530.93,175179.173
601698.SH,20250428,19.38,19.46,19.07,19.1,19.5,-0.4,-2.0513,130527,250293.526
601698.SH,20250425,19.6,19.68,19.47,19.5,19.62,-0.12,-0.6116,115560,226265.84
601698.SH,20250424,19.78,19.98,19.36,19.62,19.85,-0.23,-1.1587,181878.32,357154.488
